Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
DA Warner,12,12,2,692,100*,69.2,481,143.86,1,8,0,57,21
JM Bairstow,10,10,2,445,114,55.62,283,157.24,1,2,1,48,18
MK Pandey,12,11,3,344,83*,43,263,130.79,0,3,0,34,6
MJ Guptill,3,3,0,81,36,27,53,152.83,0,0,0,4,7
KS Williamson,9,9,2,156,70*,22.28,130,120,0,1,0,12,5
V Shankar,15,14,2,244,40*,20.33,193,126.42,0,0,0,11,12
Mohammad Nabi,8,7,1,115,31,19.16,76,151.31,0,0,0,8,7
WP Saha,5,5,0,86,28,17.2,53,162.26,0,0,0,13,1
YK Pathan,10,8,5,40,16*,13.33,45,88.88,0,0,1,1,1
DJ Hooda,11,7,1,64,20,10.66,63,101.58,0,0,1,5,1
Shakib Al Hasan,3,1,0,9,9,9,10,90,0,0,0,0,0
RK Bhui,1,1,0,7,7,7,12,58.33,0,0,0,0,0
Rashid Khan,15,8,3,34,17*,6.8,23,147.82,0,0,3,2,2
Abhishek Sharma,3,3,1,9,5*,4.5,9,100,0,0,0,1,0
B Kumar,15,5,2,12,7*,4,19,63.15,0,0,0,1,0
KK Ahmed,9,1,0,0,0,0,1,0,0,0,1,0,0
S Kaul,7,2,1,0,0*,0,1,0,0,0,1,0,0
Sandeep Sharma,11,2,2,6,5*,-,3,200,0,0,0,1,0
Basil Thampi,3,1,1,1,1*,-,1,100,0,0,0,0,0
S Nadeem,3,-,-,-,-,-,-,-,-,-,-,-,-
