Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St
SK Raina,17,1,1,0,6,0,-,-,6,-,0,0,7,0
RA Jadeja,16,16,54,1,343,15,03-Sep,22.86,6.35,21.6,0,0,9,0
Imran Tahir,17,17,64.2,1,431,26,04-Dec,16.57,6.69,14.8,2,0,6,0
MJ Santner,4,4,14,0,94,4,Feb-13,23.5,6.71,21,0,0,1,0
Harbhajan Singh,11,11,44,1,312,16,Mar-20,19.5,7.09,16.5,0,0,4,0
DL Chahar,17,17,64.3,2,482,22,Mar-20,21.9,7.47,17.5,0,0,2,0
DJ Bravo,12,12,41.1,0,330,11,Mar-33,30,8.01,22.4,0,0,5,0
SC Kuggeleijn,2,2,8,0,71,2,Feb-37,35.5,8.87,24,0,0,0,0
MM Sharma,1,1,3,0,27,1,Jan-27,27,9,18,0,0,0,0
SN Thakur,10,9,30,0,281,8,Feb-18,35.12,9.36,22.5,0,0,5,0
KV Sharma,1,1,2.5,0,33,1,Jan-33,33,11.64,17,0,0,0,0
SW Billings,1,-,-,-,-,-,-,-,-,-,-,-,1,0
MS Dhoni,15,-,-,-,-,-,-,-,-,-,-,-,11,5
F du Plessis,12,-,-,-,-,-,-,-,-,-,-,-,12,0
KM Jadhav,14,-,-,-,-,-,-,-,-,-,-,-,4,0
AT Rayudu,17,-,-,-,-,-,-,-,-,-,-,-,6,0
DR Shorey,1,-,-,-,-,-,-,-,-,-,-,-,0,0
M Vijay,2,-,-,-,-,-,-,-,-,-,-,-,1,0
SR Watson,17,-,-,-,-,-,-,-,-,-,-,-,6,0
