Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St
S Sandeep Warrier,3,3,12,0,85,2,2/31,42.5,7.08,36,0,0,1,0
SP Narine,12,12,44.2,1,347,10,2/19,34.7,7.82,26.6,0,0,0,0
Kuldeep Yadav,9,9,33,0,286,4,2/41,71.5,8.66,49.5,0,0,3,0
HF Gurney,8,8,27,0,238,7,2/25,34,8.81,23.1,0,0,0,0
PP Chawla,13,13,44.3,0,399,10,3/20,39.9,8.96,26.7,0,0,5,0
N Rana,14,6,8,0,72,3,1/8,24,9,16,0,0,3,0
M Prasidh Krishna,11,11,40.2,0,377,4,1/22,94.25,9.34,60.5,0,0,2,0
AD Russell,14,12,30.1,0,287,11,2/21,26.09,9.51,16.4,0,0,4,0
CR Brathwaite,2,2,3,0,29,0,-,-,9.66,-,0,0,0,0
LH Ferguson,5,5,17,0,183,2,1/38,91.5,10.76,51,0,0,0,0
Y Prithvi Raj,2,2,5,0,57,1,1/29,57,11.4,30,0,0,0,0
KC Cariappa,1,1,2,0,34,0,-,-,17,-,0,0,0,0
JL Denly,1,-,-,-,-,-,-,-,-,-,-,-,0,0
KD Karthik,14,-,-,-,-,-,-,-,-,-,-,-,7,0
CA Lynn,13,-,-,-,-,-,-,-,-,-,-,-,1,0
NS Naik,1,-,-,-,-,-,-,-,-,-,-,-,0,0
Shubman Gill,14,-,-,-,-,-,-,-,-,-,-,-,7,0
RK Singh,5,-,-,-,-,-,-,-,-,-,-,-,1,0
RV Uthappa,12,-,-,-,-,-,-,-,-,-,-,-,4,0
