Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St
R Ashwin,14,14,55,0,400,15,Mar-23,26.66,7.27,22,0,0,4,0
M Ashwin,10,10,34,0,255,5,Feb-25,51,7.5,40.8,0,0,3,0
Mohammed Shami,14,14,54,0,469,19,Mar-21,24.68,8.68,17,0,0,5,0
AS Rajpoot,4,4,16,0,152,3,Feb-33,50.66,9.5,32,0,0,1,0
Harpreet Brar,2,2,5,0,48,0,-,-,9.6,-,0,0,0,0
GC Viljoen,6,6,23,0,222,7,Feb-39,31.71,9.65,19.7,0,0,0,0
SM Curran,9,9,33,0,323,10,04-Nov,32.3,9.78,19.8,1,0,2,0
Mujeeb Ur Rahman,5,5,19,0,191,3,Feb-31,63.66,10.05,38,0,0,1,0
AJ Tye,6,6,22,0,233,3,Jan-37,77.66,10.59,44,0,0,2,0
Arshdeep Singh,3,3,10,0,109,3,Feb-43,36.33,10.9,20,0,0,0,0
CV Varun,1,1,3,0,35,1,Jan-35,35,11.66,18,0,0,0,0
Mandeep Singh,13,2,2,0,26,0,-,-,13,-,0,0,4,0
SN Khan,8,1,0.2,0,6,0,-,-,18,-,0,0,0,0
MA Agarwal,13,-,-,-,-,-,-,-,-,-,-,-,7,0
CH Gayle,13,-,-,-,-,-,-,-,-,-,-,-,0,0
DA Miller,10,-,-,-,-,-,-,-,-,-,-,-,7,0
KK Nair,1,-,-,-,-,-,-,-,-,-,-,-,0,0
N Pooran,7,-,-,-,-,-,-,-,-,-,-,-,1,0
KL Rahul,14,-,-,-,-,-,-,-,-,-,-,-,7,0
P Simran Singh,1,-,-,-,-,-,-,-,-,-,-,-,1,0
