Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St
S Dube,4,2,1.4,0,8,0,-,-,4.8,-,0,0,1,0
MM Ali,11,9,25,0,169,6,Feb-18,28.16,6.76,25,0,0,1,0
YS Chahal,14,14,49.2,1,386,18,Apr-38,21.44,7.82,16.4,1,0,3,0
Washington Sundar,3,3,9,0,74,4,Mar-24,18.5,8.22,13.5,0,0,2,0
NA Saini,13,13,48,0,397,11,Feb-24,36.09,8.27,26.1,0,0,3,0
DW Steyn,2,2,8,0,69,4,Feb-29,17.25,8.62,12,0,0,0,0
MP Stoinis,10,6,16.4,0,145,2,Jan-13,72.5,8.7,50,0,0,2,0
P Negi,7,4,11.1,0,102,3,Feb-21,34,9.13,22.3,0,0,3,0
K Khejroliya,2,2,5,0,46,1,Jan-29,46,9.2,30,0,0,0,0
Mohammed Siraj,9,9,28.1,1,269,7,Feb-38,38.42,9.55,24.1,0,0,2,0
UT Yadav,11,11,37.5,0,371,8,Mar-36,46.37,9.8,28.3,0,0,4,0
C de Grandhomme,4,3,5,0,55,0,-,-,11,-,0,0,1,0
TG Southee,3,3,9,0,118,1,Jan-24,118,13.11,54,0,0,3,0
P Ray Barman,1,1,4,0,56,0,-,-,14,-,0,0,0,0
AD Nath,8,-,-,-,-,-,-,-,-,-,-,-,1,0
AB de Villiers,13,-,-,-,-,-,-,-,-,-,-,-,6,0
Gurkeerat Singh,3,-,-,-,-,-,-,-,-,-,-,-,1,0
SO Hetmyer,5,-,-,-,-,-,-,-,-,-,-,-,3,0
H Klaasen,3,-,-,-,-,-,-,-,-,-,-,-,0,0
V Kohli,14,-,-,-,-,-,-,-,-,-,-,-,5,0
PA Patel,14,-,-,-,-,-,-,-,-,-,-,-,6,2
