Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St
STR Binny,8,5,7,0,44,1,Jan-19,44,6.28,42,0,0,0,0
JC Archer,11,11,43,2,291,11,Mar-15,26.45,6.76,23.4,0,0,3,0
S Gopal,14,14,48,1,347,20,03-Dec,17.35,7.22,14.4,0,0,5,0
O Thomas,4,4,10,0,79,5,02-Jun,15.8,7.9,12,0,0,1,0
K Gowtham,7,7,20,0,166,1,Jan-32,166,8.3,120,0,0,0,0
R Parag,7,7,14,0,121,2,01-Oct,60.5,8.64,42,0,0,5,0
IS Sodhi,2,2,7.1,1,67,4,Mar-26,16.75,9.34,10.7,0,0,0,0
DS Kulkarni,10,10,35,1,335,6,Jan-14,55.83,9.57,35,0,0,5,0
VR Aaron,5,5,12,1,116,4,Feb-20,29,9.66,18,0,0,1,0
JD Unadkat,11,11,37.2,0,398,10,Feb-26,39.8,10.66,22.4,0,0,3,0
BA Stokes,9,6,16.5,0,189,6,Feb-39,31.5,11.22,16.8,0,0,3,0
LS Livingstone,4,1,1,0,13,0,-,-,13,-,0,0,4,0
S Midhun,1,1,2,0,27,0,-,-,13.5,-,0,0,1,0
JC Buttler,8,-,-,-,-,-,-,-,-,-,-,-,8,0
P Chopra,1,-,-,-,-,-,-,-,-,-,-,-,0,0
MK Lomror,2,-,-,-,-,-,-,-,-,-,-,-,1,0
AM Rahane,14,-,-,-,-,-,-,-,-,-,-,-,5,0
SV Samson,12,-,-,-,-,-,-,-,-,-,-,-,4,1
SPD Smith,12,-,-,-,-,-,-,-,-,-,-,-,3,0
RA Tripathi,8,-,-,-,-,-,-,-,-,-,-,-,3,0
AJ Turner,4,-,-,-,-,-,-,-,-,-,-,-,0,0
