Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St
Rashid Khan,15,15,60,1,377,17,Mar-21,22.17,6.28,21.1,0,0,4,0
Mohammad Nabi,8,8,29.1,0,194,8,04-Nov,24.25,6.65,21.8,1,0,6,0
B Kumar,15,15,59,1,461,13,Feb-24,35.46,7.81,27.2,0,0,4,0
YK Pathan,10,1,1,0,8,0,-,-,8,-,0,0,1,0
KK Ahmed,9,9,34.5,0,287,19,Mar-30,15.1,8.23,11,0,0,0,0
Sandeep Sharma,11,11,42.4,0,352,12,Mar-19,29.33,8.25,21.3,0,0,1,0
V Shankar,15,5,8,0,70,1,01-Nov,70,8.75,48,0,0,10,0
Shakib Al Hasan,3,3,10.5,0,95,2,Jan-26,47.5,8.76,32.5,0,0,0,0
S Kaul,7,7,27,0,242,6,Feb-34,40.33,8.96,27,0,0,1,0
Basil Thampi,3,3,12,0,110,0,-,-,9.16,-,0,0,0,0
S Nadeem,3,3,9,0,90,2,Jan-24,45,10,27,0,0,0,0
Abhishek Sharma,3,2,2,0,21,1,01-Oct,21,10.5,12,0,0,1,0
DJ Hooda,11,2,2,0,21,1,Jan-13,21,10.5,12,0,0,10,0
JM Bairstow,10,-,-,-,-,-,-,-,-,-,-,-,9,2
RK Bhui,1,-,-,-,-,-,-,-,-,-,-,-,0,0
MJ Guptill,3,-,-,-,-,-,-,-,-,-,-,-,1,0
MK Pandey,12,-,-,-,-,-,-,-,-,-,-,-,7,0
WP Saha,5,-,-,-,-,-,-,-,-,-,-,-,3,1
DA Warner,12,-,-,-,-,-,-,-,-,-,-,-,2,0
KS Williamson,9,-,-,-,-,-,-,-,-,-,-,-,2,0
