Player,Points
Hardik Pandya ,342
Deepak Chahar ,274.5
Imran Tahir ,255
Quinton de Kock ,247.5
Rashid Khan ,247.5
Rishabh Pant ,247
Jasprit Bumrah ,240.5
Ravindra Jadeja ,234.5
Chris Gayle ,231.5
KL Rahul ,227.5
Bhuvneshwar Kumar ,226
David Warner ,221
Kagiso Rabada ,219
Shreyas Gopal ,213
Shikhar Dhawan ,211
Krunal Pandya ,211
Jonny Bairstow ,210.5
Sunil Narine ,205
Axar Patel ,203
Mohammed Shami ,198
Jofra Archer ,191
Shane Watson ,190
Yuzvendra Chahal ,187.5
Navdeep Saini ,187
Moeen Ali ,186
AB de Villiers ,183.5
Harbhajan Singh ,183
Rahul Chahar ,183
Chris Lynn ,182
Ravichandran Ashwin ,180.5
Ishant Sharma ,176
MS Dhoni ,175.5
Rohit Sharma ,175
Parthiv Patel ,175
Nitish Rana ,174
Virat Kohli ,173
Faf du Plessis ,172.5
Shreyas Iyer ,171.5
Suryakumar Yadav ,170
Jos Buttler ,164
Suresh Raina ,162.5
Ajinkya Rahane ,156.5
Mohammad Nabi ,156.5
Khaleel Ahmed ,153.5
Piyush Chawla ,151.5
Dwayne Bravo ,150.5
Lasith Malinga ,149.5
Prithvi Shaw ,149
Sam Curran ,143
Umesh Yadav ,137
Chris Morris ,133
Kieron Pollard ,132
Mayank Agarwal ,131.5
Amit Mishra ,129
Sandeep Sharma ,129
Sanju Samson ,128
Manish Pandey ,123.5
Dinesh Karthik ,121.5
Robin Uthappa ,115
Prasidh Krishna ,114
Marcus Stoinis ,114
Dhawal Kulkarni ,113
Vijay Shankar ,112
Shardul Thakur ,111.5
Shubman Gill ,105
Keemo Paul ,104
Jaydev Unadkat ,103
Mohammed Siraj ,98.5
Riyan Parag ,97.5
Steve Smith ,96.5
Ben Stokes ,93.5
Ambati Rayudu ,89.5
David Miller ,89.5
Murugan Ashwin ,84
Sandeep Lamichhane ,80
Siddarth Kaul ,79.5
Kuldeep Yadav ,78
Nicholas Pooran ,76.5
Harry Gurney ,75.5
Hardus Viljoen ,74
Jason Behrendorff ,71.5
Trent Boult ,70
Colin Ingram ,70
Kedar Jadhav ,68
Mitchell Santner ,64
Sarfaraz Khan ,61.5
Mitchell McClenaghan ,60.5
Sherfane Rutherford ,53.5
Alzarri Joseph ,53.5
Kane Williamson ,52.5
Mandeep Singh ,50
Mujeeb Ur Rahman ,50
Rahul Tewatia ,49.5
Wriddhiman Saha ,48.5
Ankit Rajpoot ,48
Krishnappa Gowtham ,47.5
Rahul Tripathi ,47
Andrew Tye ,45.5
Liam Livingstone ,45.5
Pawan Negi ,45.5
Deepak Hooda ,45.5
Varun Aaron ,44.5
Stuart Binny ,43
Oshane Thomas ,42
Shimron Hetmyer ,42
Washington Sundar ,40
Sandeep Warrier ,39.5
Ishan Kishan ,39
Yuvraj Singh ,38.5
Lockie Ferguson ,37
Gurkeerat Mann Singh ,37
Martin Guptill ,37
Colin Munro ,36.5
Dale Steyn ,34
Arshdeep Singh ,30.5
Tim Southee ,30
Ish Sodhi ,29
Shakib Al Hasan ,29
Jayant Yadav ,25.5
Evin Lewis ,24.5
Scott Kuggeleijn ,24
Harshal Patel ,22
Akshdeep Nath ,22
Colin de Grandhomme ,21.5
Murali Vijay ,21
Basil Thampi ,21
Shivam Dube ,18.5
Jagadeesha Suchith ,18
Mayank Markande ,17
Shahbaz Nadeem ,17
Harpreet Brar ,15.5
Kulwant Khejroliya ,13.5
Avesh Khan ,12
Rinku Singh ,12
Mohit Sharma ,11.5
Varun Chakravarthy ,11.5
Prithvi Raj ,11.5
Ben Cutting ,11.5
Rasikh Salam ,10.5
Abhishek Sharma ,9.5
Yusuf Pathan ,9.5
Simran Singh ,8.5
Carlos Brathwaite ,8.5
Karn Sharma ,7.5
Anukul Roy ,7.5
Mahipal Lomror ,7.5
Barinder Sran ,7
Prayas Ray Barman ,7
Sudhesan Midhun ,6.5
Siddhesh Lad ,6
KC Cariappa ,4.5
Sam Billings ,2.5
Nikhil Naik ,2.5
Dhruv Shorey ,0
Hanuma Vihari ,0
Karun Nair ,0
Joe Denly ,0
Prashant Chopra ,0
Ashton Turner ,0
Heinrich Klaasen ,0
Ricky Bhui ,0
