,ID,SEASON,CITY,CITY_Corrrected,TEAM1,TEAM1_MODEL,TEAM2,TEAM2_MODEL,TOSS_WINNER,TEAM1_STRENGTH,TEAM1_CUMU_STRENGTH,TEAM2_STRENGTH,TEAM2_CUMU_STRENGTH,TOSS_DECISION,RESULT,WINNER,WIN_BY_RUNS,TOSS_WINNER_MODEL,WINNER_MODEL,TOSS_DECISION_MODEL,CITY_MODEL,WIN_RATE_TEAM1,WIN_RATE_TEAM2
0,1,2017,Hyderabad,SRH,SRH,1,RCB,0,RCB,276.52941180000005,222.2478992,329.1875,274.86495539999993,field,normal,SRH,35,0,1,0,1,0.1097560975609756,0.11846689895470384
1,2,2017,Pune,RPS,RPS,1,MI,0,RPS,310.1719955,312.97661560000006,418.3392857,394.19940479999997,field,normal,RPS,0,1,1,0,1,0.02961672473867596,0.13937282229965156
2,3,2017,Rajkot,GL,KKR,1,GL,0,KKR,287.1166667,281.92857139999995,315.3236607,283.078125,field,normal,KKR,0,1,1,0,0,0.11846689895470384,0.0156794425087108
3,4,2017,Indore,Indore,KXIP,1,RPS,0,KXIP,299.4642857,312.2185374,310.1719955,312.97661560000006,field,normal,KXIP,0,1,1,0,2,0.1097560975609756,0.02961672473867596
4,5,2017,Bangalore,RCB,RCB,1,DD,0,RCB,329.1875,274.86495539999993,338.85714289999993,303.525,bat,normal,RCB,15,1,1,1,1,0.11846689895470384,0.09581881533101046
5,6,2017,Hyderabad,SRH,SRH,1,GL,0,SRH,276.52941180000005,222.2478992,315.3236607,283.078125,field,normal,SRH,0,1,1,0,1,0.1097560975609756,0.0156794425087108
6,7,2017,Mumbai,MI,MI,1,KKR,0,MI,418.3392857,394.19940479999997,287.1166667,281.92857139999995,field,normal,MI,0,1,1,0,1,0.13937282229965156,0.11846689895470384
7,8,2017,Indore,Indore,KXIP,1,RCB,0,RCB,299.4642857,312.2185374,329.1875,274.86495539999993,bat,normal,KXIP,0,0,1,1,2,0.1097560975609756,0.11846689895470384
8,9,2017,Pune,RPS,DD,1,RPS,0,RPS,338.85714289999993,303.525,310.1719955,312.97661560000006,field,normal,DD,97,0,1,0,0,0.09581881533101046,0.02961672473867596
9,10,2017,Mumbai,MI,MI,1,SRH,0,MI,418.3392857,394.19940479999997,276.52941180000005,222.2478992,field,normal,MI,0,1,1,0,1,0.13937282229965156,0.1097560975609756
10,11,2017,Kolkata,KKR,KKR,1,KXIP,0,KKR,287.1166667,281.92857139999995,299.4642857,312.2185374,field,normal,KKR,0,1,1,0,1,0.11846689895470384,0.1097560975609756
11,12,2017,Bangalore,RCB,MI,1,RCB,0,MI,418.3392857,394.19940479999997,329.1875,274.86495539999993,field,normal,MI,0,1,1,0,0,0.13937282229965156,0.11846689895470384
12,13,2017,Rajkot,GL,GL,1,RPS,0,GL,315.3236607,283.078125,310.1719955,312.97661560000006,field,normal,GL,0,1,1,0,1,0.0156794425087108,0.02961672473867596
13,14,2017,Kolkata,KKR,KKR,1,SRH,0,SRH,287.1166667,281.92857139999995,276.52941180000005,222.2478992,field,normal,KKR,17,0,1,0,1,0.11846689895470384,0.1097560975609756
