,Unnamed: 0,ID,SEASON,CITY,CITY_Corrrected,TEAM1,TEAM1_MODEL,TEAM2,TEAM2_MODEL,TOSS_WINNER,TEAM1_STRENGTH,TEAM1_CUMU_STRENGTH,TEAM2_STRENGTH,TEAM2_CUMU_STRENGTH,TOSS_DECISION,RESULT,WINNER,WIN_BY_RUNS,TOSS_WINNER_MODEL,WINNER_MODEL,TOSS_DECISION_MODEL,CITY_MODEL,WIN_RATE_TEAM1,WIN_RATE_TEAM2
0,0,60,2008,Bangalore,RCB,KKR,1,RCB,0,RCB,,,,,field,normal,KKR,140,0,1,0,0,1.0,0.0
1,1,61,2008,Chandigarh,KXIP,CSK,1,KXIP,0,CSK,,,,,bat,normal,CSK,33,1,1,1,0,0.5,0.0
2,2,62,2008,Delhi,DD,DD,1,RR,0,RR,,,,,bat,normal,DD,0,0,1,1,1,0.3333333333333333,0.0
3,3,63,2008,Mumbai,MI,RCB,1,MI,0,MI,,,,,bat,normal,RCB,0,0,1,1,0,0.25,0.0
4,4,64,2008,Kolkata,KKR,KKR,1,SRH,0,SRH,,,,,bat,normal,KKR,0,0,1,1,1,0.4,0.0
5,5,65,2008,Jaipur,RR,RR,1,KXIP,0,KXIP,,,,,bat,normal,RR,0,0,1,1,1,0.16666666666666666,0.0
6,6,66,2008,Hyderabad,SRH,DD,1,SRH,0,SRH,,,,,bat,normal,DD,0,0,1,1,0,0.2857142857142857,0.0
7,7,67,2008,Chennai,CSK,CSK,1,MI,0,MI,,,,,field,normal,CSK,6,0,1,0,1,0.25,0.0
8,8,68,2008,Hyderabad,SRH,RR,1,SRH,0,RR,,,,,field,normal,RR,0,1,1,0,0,0.2222222222222222,0.0
9,9,69,2008,Chandigarh,KXIP,KXIP,1,MI,0,MI,,,,,field,normal,KXIP,66,0,1,0,1,0.1,0.0
10,10,70,2008,Bangalore,RCB,RR,1,RCB,0,RR,,,,,field,normal,RR,0,1,1,0,0,0.2727272727272727,0.09090909090909091
11,11,71,2008,Chennai,CSK,CSK,1,KKR,0,KKR,,,,,bat,normal,CSK,0,0,1,1,1,0.25,0.16666666666666666
12,12,72,2008,Mumbai,MI,MI,1,SRH,0,SRH,,,,,field,normal,SRH,0,0,0,0,1,0.0,0.07692307692307693
13,13,73,2008,Chandigarh,KXIP,DD,1,KXIP,0,DD,,,,,bat,normal,KXIP,0,1,0,1,0,0.14285714285714285,0.14285714285714285
14,14,74,2008,Bangalore,RCB,CSK,1,RCB,0,CSK,,,,,bat,normal,CSK,13,1,1,1,0,0.26666666666666666,0.06666666666666667
15,15,75,2008,Kolkata,KKR,KKR,1,MI,0,KKR,,,,,bat,normal,MI,0,1,0,1,1,0.125,0.0625
16,16,76,2008,Delhi,DD,DD,1,RCB,0,RCB,,,,,field,normal,DD,10,0,1,0,1,0.17647058823529413,0.058823529411764705
17,17,77,2008,Hyderabad,SRH,SRH,1,KXIP,0,KXIP,,,,,field,normal,KXIP,0,0,0,0,1,0.05555555555555555,0.16666666666666666
18,18,78,2008,Jaipur,RR,RR,1,KKR,0,RR,,,,,bat,normal,RR,45,1,1,1,1,0.21052631578947367,0.10526315789473684
19,19,79,2008,Chennai,CSK,CSK,1,DD,0,CSK,,,,,bat,normal,DD,0,1,0,1,1,0.2,0.2
20,20,80,2008,Hyderabad,SRH,SRH,1,RCB,0,SRH,,,,,bat,normal,RCB,0,1,0,1,1,0.047619047619047616,0.09523809523809523
21,21,81,2008,Chandigarh,KXIP,KXIP,1,KKR,0,KXIP,,,,,bat,normal,KXIP,9,1,1,1,1,0.18181818181818182,0.09090909090909091
22,22,82,2008,Mumbai,MI,MI,1,DD,0,DD,,,,,field,normal,MI,29,0,1,0,1,0.08695652173913043,0.17391304347826086
23,23,83,2008,Jaipur,RR,CSK,1,RR,0,CSK,,,,,bat,normal,RR,0,1,0,1,0,0.16666666666666666,0.20833333333333334
24,24,84,2008,Bangalore,RCB,RCB,1,KXIP,0,KXIP,,,,,field,normal,KXIP,0,0,0,0,1,0.08,0.2
25,25,85,2008,Chennai,CSK,CSK,1,SRH,0,SRH,,,,,field,normal,SRH,0,0,0,0,1,0.15384615384615385,0.07692307692307693
26,26,86,2008,Mumbai,MI,RR,1,MI,0,MI,,,,,field,normal,MI,0,0,0,0,0,0.18518518518518517,0.1111111111111111
27,27,87,2008,Delhi,DD,DD,1,CSK,0,CSK,,,,,field,normal,CSK,0,0,0,0,1,0.14285714285714285,0.17857142857142858
28,28,88,2008,Kolkata,KKR,KKR,1,RCB,0,KKR,,,,,bat,normal,KKR,5,1,1,1,1,0.10344827586206896,0.06896551724137931
