Year,Teams,Matches,Won,Lost,Tied,Points,NRR
2019,Mumbai Indians,14,9,5,0,18,0.421
2019,Chennai Super Kings,14,9,5,0,18,0.131
2019,Delhi Capitals,14,9,5,0,18,0.044
2019,Sunrisers Hyderabad,14,6,8,0,12,0.577
2019,Kolkata Knight Riders,14,6,8,0,12,0.028
2019,Kings XI Punjab,14,6,8,0,12,-0.251
2019,Rajasthan Royals,14,5,8,0,11,-0.449
2019,Royal Challengers Bangalore,14,5,8,0,11,-0.607
2018,Sunrisers Hyderabad,14,9,5,0,18,0.284
2018,Chennai Super Kings,14,9,5,0,18,0.253
2018,Kolkata Knight Riders,14,8,6,0,16,-0.07
2018,Rajasthan Royals,14,7,7,0,14,-0.25
2018,Mumbai Indians,14,6,8,0,12,0.317
2018,Royal Challengers Bangalore,14,6,8,0,12,0.129
2018,Kings XI Punjab,14,6,8,0,12,-0.502
2018,Delhi Daredevils,14,5,9,0,10,-0.222
2017,Mumbai Indians,14,10,4,0,20,0.784
2017,Rising Pune Supergiants,14,9,5,0,18,0.176
2017,Sunrisers Hyderabad,14,8,5,1,17,0.599
2017,Kolkata Knight Riders,14,8,6,0,16,0.641
2017,Kings XI Punjab,14,7,7,0,14,-0.009
2017,Delhi Daredevils,14,6,8,0,12,-0.512
2017,Gujarat Lions,14,4,10,0,8,-0.412
2017,Royal Challengers Bangalore,14,3,10,1,7,-1.299
2016,Gujarat Lions,14,9,5,0,18,-0.374
2016,Royal Challengers Bangalore,14,8,6,0,16,0.932
2016,Sunrisers Hyderabad,14,8,6,0,16,0.245
2016,Kolkata Knight Riders,14,8,6,0,16,0.106
2016,Mumbai Indians,14,7,7,0,14,-0.146
2016,Delhi Daredevils,14,7,7,0,14,-0.155
2016,Rising Pune Supergiants,14,5,9,0,10,0.015
2016,Kings XI Punjab,14,4,10,0,8,-0.646
2015,Chennai Super Kings,14,9,5,0,18,0.709
2015,Mumbai Indians,14,8,6,0,16,-0.043
2015,Royal Challengers Bangalore,14,7,5,0,16,1.037
2015,Rajasthan Royals,14,7,5,0,16,0.062
2015,Kolkata Knight Riders,14,7,6,0,15,0.253
2015,Sunrisers Hyderabad,14,7,7,0,14,-0.239
2015,Delhi Daredevils,14,5,8,0,11,-0.049
2015,Kings XI Punjab,14,3,11,0,6,-1.436
2014,Kings XI Punjab,14,11,3,0,22,0.968
2014,Kolkata Knight Riders,14,9,5,0,18,0.418
2014,Chennai Super Kings,14,9,5,0,18,0.385
2014,Mumbai Indians,14,7,7,0,14,0.095
2014,Rajasthan Royals,14,7,7,0,14,0.06
2014,Sunrisers Hyderabad,14,6,8,0,12,-0.399
2014,Royal Challengers Bangalore,14,5,9,0,10,-0.428
2014,Delhi Daredevils,14,2,12,0,4,-1.182
2013,Chennai Super Kings,16,11,5,0,22,0.53
2013,Mumbai Indians,16,11,5,0,22,0.441
2013,Rajasthan Royals,16,10,6,0,20,0.322
2013,Sunrisers Hyderabad,16,10,6,0,20,0.003
2013,Royal Challengers Bangalore,16,9,7,0,18,0.457
2013,Kings XI Punjab,16,8,8,0,16,0.226
