,Unnamed: 0,ID,SEASON,CITY,CITY_Corrrected,TEAM1,TEAM1_MODEL,TEAM2,TEAM2_MODEL,TEAM1_STRENGTH,TEAM1_CUMU_STRENGTH,TEAM2_STRENGTH,TEAM2_CUMU_STRENGTH,TOSS_WINNER,TOSS_DECISION,RESULT,WINNER,WIN_BY_RUNS,TOSS_WINNER_MODEL,WINNER_MODEL,TOSS_DECISION_MODEL,CITY_MODEL,WIN_RATE_TEAM1,WIN_RATE_TEAM2
0,0,60,2008,Bangalore,RCB,KKR,1,RCB,0,303.1287046,303.1287046,227.43385419999998,227.43385419999998,RCB,field,normal,KKR,140,0,1,0,0,0.0,0.0
1,1,61,2008,Chandigarh,KXIP,CSK,1,KXIP,0,336.62857139999994,336.62857139999994,282.9642857,282.9642857,CSK,bat,normal,CSK,33,1,1,1,0,0.0,0.0
2,2,62,2008,Delhi,DD,DD,1,RR,0,296.6,296.6,331.64615380000004,331.64615380000004,RR,bat,normal,DD,0,0,1,1,1,0.0,0.0
3,3,63,2008,Mumbai,MI,RCB,1,MI,0,227.43385419999998,227.43385419999998,331.65170939999996,331.65170939999996,MI,bat,normal,RCB,0,0,1,1,0,0.0,0.0
4,4,64,2008,Kolkata,KKR,KKR,1,SRH,0,303.1287046,303.1287046,234.5125,234.5125,SRH,bat,normal,KKR,0,0,1,1,1,1.0,0.0
5,5,65,2008,Jaipur,RR,RR,1,KXIP,0,331.64615380000004,331.64615380000004,282.9642857,282.9642857,KXIP,bat,normal,RR,0,0,1,1,1,0.0,0.0
6,6,66,2008,Hyderabad,SRH,DD,1,SRH,0,296.6,296.6,234.5125,234.5125,SRH,bat,normal,DD,0,0,1,1,0,1.0,0.0
7,7,67,2008,Chennai,CSK,CSK,1,MI,0,336.62857139999994,336.62857139999994,331.65170939999996,331.65170939999996,MI,field,normal,CSK,6,0,1,0,1,1.0,0.0
8,8,68,2008,Hyderabad,SRH,RR,1,SRH,0,331.64615380000004,331.64615380000004,234.5125,234.5125,RR,field,normal,RR,0,1,1,0,0,0.5,0.0
9,9,69,2008,Chandigarh,KXIP,KXIP,1,MI,0,282.9642857,282.9642857,331.65170939999996,331.65170939999996,MI,field,normal,KXIP,66,0,1,0,1,0.0,0.0
10,10,70,2008,Bangalore,RCB,RR,1,RCB,0,331.64615380000004,331.64615380000004,227.43385419999998,227.43385419999998,RR,field,normal,RR,0,1,1,0,0,0.6666666666666666,0.5
11,11,71,2008,Chennai,CSK,CSK,1,KKR,0,336.62857139999994,336.62857139999994,303.1287046,303.1287046,KKR,bat,normal,CSK,0,0,1,1,1,1.0,1.0
